trial_nr	onset	event_type	phase	response	nr_frames	n_dots	sphere_radius	dot_size	rotation_speed	depth_mod_center	depth_mod_amp	ambiguous_dot_size	onset_abs	duration
14	146.81734799999998	phase2	2		18	200.0	2.0	0.15	2.0	0.75	0.25	0.2	148.95282379999998	0.1500063999999952
14	146.96735439999998	phase3	3		360	200.0	2.0	0.15	2.0	0.75	0.25	0.2	149.10283019999997	2.999877300000037
14	148.13425790000002	response	3	left		200.0	2.0	0.15	2.0	0.75	0.25	0.2	150.26973370000002	
15	149.9672317	phase0	0		343	200.0	2.0	0.15	2.0	0.75	0.25	0.2	152.1027075	2.858240299999977
15	152.825472	phase1	1		480	200.0	2.0	0.15	2.0	0.75	0.25	0.2	154.96094779999999	3.999892700000032
15	156.82536470000002	phase2	2		6	200.0	2.0	0.15	2.0	0.75	0.25	0.2	158.96084050000002	0.04997209999999086
15	156.8753368	phase3	3		360	200.0	2.0	0.15	2.0	0.75	0.25	0.2	159.0108126	2.999933599999963
15	158.3338607	response	3	left		200.0	2.0	0.15	2.0	0.75	0.25	0.2	160.4693365	
16	159.87527039999998	phase0	0		163	200.0	2.0	0.15	2.0	0.75	0.25	0.2	162.01074619999997	1.3565440000000422
16	161.23181440000002	phase1	1		480	200.0	2.0	0.15	2.0	0.75	0.25	0.2	163.3672902	4.001612299999977
16	165.2334267	phase2	2		12	200.0	2.0	0.15	2.0	0.75	0.25	0.2	167.3689025	0.09999940000000151
16	165.3334261	phase3	3		360	200.0	2.0	0.15	2.0	0.75	0.25	0.2	167.4689019	2.999873799999989
16	166.3419472	response	3	right		200.0	2.0	0.15	2.0	0.75	0.25	0.2	168.477423	
17	168.3332999	phase0	0		274	200.0	2.0	0.15	2.0	0.75	0.25	0.2	170.46877569999998	2.283280999999988
17	170.61658089999997	phase1	1		480	200.0	2.0	0.15	2.0	0.75	0.25	0.2	172.75205669999997	3.9999398000000497
17	174.61652070000002	phase2	2		24	200.0	2.0	0.15	2.0	0.75	0.25	0.2	176.75199650000002	0.19997509999996055
17	174.81649579999998	phase3	3		360	200.0	2.0	0.15	2.0	0.75	0.25	0.2	176.95197159999998	2.9998090000000275
17	175.9065094	response	3	left		200.0	2.0	0.15	2.0	0.75	0.25	0.2	178.0419852	
18	177.8163048	phase0	0		210	200.0	2.0	0.15	2.0	0.75	0.25	0.2	179.9517806	1.74999600000001
18	179.56630080000002	phase1	1		480	200.0	2.0	0.15	2.0	0.75	0.25	0.2	181.70177660000002	3.9998851999999943
18	183.56618600000002	phase2	2		36	200.0	2.0	0.15	2.0	0.75	0.25	0.2	185.7016618	0.2999806999999919
18	183.8661667	phase3	3		360	200.0	2.0	0.15	2.0	0.75	0.25	0.2	186.0016425	2.9998994999999695
18	185.19134910000002	response	3	left		200.0	2.0	0.15	2.0	0.75	0.25	0.2	187.32682490000002	
19	186.86606619999998	phase0	0		178	200.0	2.0	0.15	2.0	0.75	0.25	0.2	189.00154199999997	1.4833145000000059
19	188.34938069999998	phase1	1		480	200.0	2.0	0.15	2.0	0.75	0.25	0.2	190.48485649999998	3.9998588999999924
19	192.34923959999998	phase2	2		24	200.0	2.0	0.15	2.0	0.75	0.25	0.2	194.48471539999997	0.200018200000045
19	192.54925780000002	phase3	3		360	200.0	2.0	0.15	2.0	0.75	0.25	0.2	194.68473360000002	2.9998817999999687
19	194.48291590000002	response	3	left		200.0	2.0	0.15	2.0	0.75	0.25	0.2	196.61839170000002	
20	195.5491396	phase0	0		330	200.0	2.0	0.15	2.0	0.75	0.25	0.2	197.68461539999998	2.749906699999997
20	198.2990463	phase1	1		480	200.0	2.0	0.15	2.0	0.75	0.25	0.2	200.43452209999998	3.999870200000032
20	202.29891650000002	phase2	2		18	200.0	2.0	0.15	2.0	0.75	0.25	0.2	204.4343923	0.15004940000000033
20	202.44896590000002	phase3	3		360	200.0	2.0	0.15	2.0	0.75	0.25	0.2	204.5844417	2.999896499999977
20	203.7907864	response	3	right		200.0	2.0	0.15	2.0	0.75	0.25	0.2	205.9262622	
21	205.4488624	phase0	0		252	200.0	2.0	0.15	2.0	0.75	0.25	0.2	207.5843382	2.099880100000007
21	207.5487425	phase1	1		480	200.0	2.0	0.15	2.0	0.75	0.25	0.2	209.6842183	3.999892999999986
21	211.5486355	phase2	2		18	200.0	2.0	0.15	2.0	0.75	0.25	0.2	213.68411129999998	0.15000380000003588
21	211.69863930000002	phase3	3		360	200.0	2.0	0.15	2.0	0.75	0.25	0.2	213.83411510000002	2.999938899999961
21	212.48173889999998	response	3	right		200.0	2.0	0.15	2.0	0.75	0.25	0.2	214.61721469999998	
22	214.6985782	phase0	0		300	200.0	2.0	0.15	2.0	0.75	0.25	0.2	216.83405399999998	2.499869999999987
22	217.19844819999997	phase1	1		480	200.0	2.0	0.15	2.0	0.75	0.25	0.2	219.33392399999997	3.9998608000000218
22	221.198309	phase2	2		0	200.0	2.0	0.15	2.0	0.75	0.25	0.2	223.3337848	0.0021047999999836975
22	221.20041379999998	phase3	3		360	200.0	2.0	0.15	2.0	0.75	0.25	0.2	223.33588959999997	2.9978030999999987
22	222.82349390000002	response	3	left		200.0	2.0	0.15	2.0	0.75	0.25	0.2	224.9589697	
23	224.19821689999998	phase0	0		209	200.0	2.0	0.15	2.0	0.75	0.25	0.2	226.33369269999997	1.7416046000000165
23	225.9398215	phase1	1		480	200.0	2.0	0.15	2.0	0.75	0.25	0.2	228.0752973	3.999944200000016
23	229.9397657	phase2	2		30	200.0	2.0	0.15	2.0	0.75	0.25	0.2	232.0752415	0.24993339999997488
23	230.18969909999998	phase3	3		360	200.0	2.0	0.15	2.0	0.75	0.25	0.2	232.32517489999998	2.9999053999999887
23	231.6816053	response	3	right		200.0	2.0	0.15	2.0	0.75	0.25	0.2	233.8170811	
24	233.18960449999997	phase0	0		150	200.0	2.0	0.15	2.0	0.75	0.25	0.2	235.32508029999997	1.2499564000000305
24	234.4395609	phase1	1		480	200.0	2.0	0.15	2.0	0.75	0.25	0.2	236.5750367	3.999880399999995
24	238.4394413	phase2	2		12	200.0	2.0	0.15	2.0	0.75	0.25	0.2	240.5749171	0.09999260000000731
24	238.5394339	phase3	3		360	200.0	2.0	0.15	2.0	0.75	0.25	0.2	240.6749097	2.9999530999999706
24	239.5213756	response	3	right		200.0	2.0	0.15	2.0	0.75	0.25	0.2	241.6568514	
25	241.53938699999998	phase0	0		278	200.0	2.0	0.15	2.0	0.75	0.25	0.2	243.67486279999997	2.316562900000008
25	243.85594989999998	phase1	1		480	200.0	2.0	0.15	2.0	0.75	0.25	0.2	245.99142569999998	3.9998606000000336
25	247.85581050000002	phase2	2		30	200.0	2.0	0.15	2.0	0.75	0.25	0.2	249.9912863	0.25002949999998236
25	248.10584	phase3	3		360	200.0	2.0	0.15	2.0	0.75	0.25	0.2	250.2413158	2.9998689999999897
25	249.39773150000002	response	3	left		200.0	2.0	0.15	2.0	0.75	0.25	0.2	251.53320730000002	
26	251.105709	phase0	0		246	200.0	2.0	0.15	2.0	0.75	0.25	0.2	253.24118479999998	2.0499216000000047
26	253.1556306	phase1	1		480	200.0	2.0	0.15	2.0	0.75	0.25	0.2	255.2911064	3.9998702999999978
26	257.1555009	phase2	2		18	200.0	2.0	0.15	2.0	0.75	0.25	0.2	259.2909767	0.15000420000001213
