trial_nr	onset	event_type	phase	response	nr_frames	onset_abs	duration
9	214.8096342000008	alternation	14		24	215.91438130000097	0.20003579999956855
9	215.00967000000037	alternation	15		24	216.11441710000054	0.19992150000052789
9	215.2095915000009	alternation	16		24	216.31433860000107	0.2000090999999884
9	215.40960060000089	alternation	17		24	216.51434770000105	0.19999859999916225
9	215.60959920000005	alternation	18		24	216.71434630000022	0.1999749000005977
9	215.80957410000065	alternation	19		24	216.9143212000008	0.1999895999997534
9	216.0095637000004	alternation	20		24	217.11431080000057	0.1999863999999434
9	216.20955010000034	alternation	21		24	217.3142972000005	0.20003230000020267
9	216.40958240000055	alternation	22		24	217.5143295000007	0.19998080000004848
9	216.6095632000006	alternation	23		24	217.71431030000076	0.19998109999960434
9	216.8095443000002	alternation	24		24	217.91429140000037	0.1997879999998986
9	217.0093323000001	alternation	25		24	218.11407940000026	0.20019090000005235
9	217.20952320000015	alternation	26		24	218.31427030000032	0.20000380000055884
9	217.4095270000007	alternation	27		24	218.51427410000088	0.1998579000000973
9	217.6093849000008	alternation	28		24	218.71413200000097	0.20000720000007277
9	217.80939210000088	alternation	29		23	218.91413920000105	0.191777799999727
9	218.0011699000006	alternation	30		25	219.10591700000077	0.20831730000008974
9	218.2094872000007	alternation	31		24	219.31423430000086	0.2000146999998833
9	218.40950190000058	alternation	32		24	219.51424900000075	0.19998409999971045
9	218.6094860000003	alternation	33		24	219.71423310000046	0.2000039000004108
9	218.8094899000007	alternation	34		24	219.91423700000087	0.19997650000004796
9	219.00946640000075	alternation	35		24	220.11421350000091	0.19826689999990776
9	219.20773330000065	alternation	36		24	220.31248040000082	0.1999961000001349
9	219.4077294000008	alternation	37		24	220.51247650000096	0.19997629999943456
9	219.60770570000022	alternation	38		24	220.7124528000004	0.20001540000066598
9	219.8077211000009	alternation	39		24	220.91246820000106	0.19997069999953965
10	220.00769180000043	text_phase	0		655	221.1124389000006	5.459926000000451
10	225.45120060000045	response	0	space		226.55594770000062	
11	225.46761780000088	alternation	0		25	226.57236490000105	0.20833049999964715
11	225.67594830000053	alternation	1		24	226.7806954000007	0.20001030000003084
11	225.87595860000056	alternation	2		24	226.98070570000073	0.19996770000034303
11	226.0759263000009	alternation	3		23	227.18067340000107	0.1916559999999663
11	226.26758230000087	alternation	4		25	227.37232940000104	0.2083284000000276
11	226.4759107000009	alternation	5		24	227.58065780000106	0.20000229999914154
11	226.67591300000004	alternation	6		24	227.7806601000002	0.19999150000057853
11	226.87590450000062	alternation	7		24	227.98065160000078	0.20002000000022235
11	227.07592450000084	alternation	8		24	228.180671600001	0.1999590999994325
11	227.27588360000027	alternation	9		24	228.38063070000044	0.2000223000004553
11	227.47590590000073	alternation	10		24	228.5806530000009	0.19997239999975136
11	227.67587830000048	alternation	11		24	228.78062540000064	0.19998930000019755
11	227.87586760000067	alternation	12		24	228.98061470000084	0.2000014999994164
11	228.0758691000001	alternation	13		24	229.18061620000026	0.19998110000051383
11	228.2758502000006	alternation	14		24	229.38059730000077	0.19999279999956343
11	228.47584300000017	alternation	15		24	229.58059010000034	0.19999030000053608
11	228.6758333000007	alternation	16		24	229.78058040000087	0.19998949999990145
11	228.8758228000006	alternation	17		24	229.98056990000077	0.20010499999989406
11	229.0759278000005	alternation	18		24	230.18067490000067	0.19989629999963654
11	229.27582410000014	alternation	19		24	230.3805712000003	0.20002079999994749
11	229.47584490000008	alternation	20		24	230.58059200000025	0.19996760000049107
11	229.67581250000057	alternation	21		24	230.78055960000074	0.1999948000002405
11	229.87580730000082	alternation	22		24	230.98055440000098	0.2000579999994443
11	230.07586530000026	alternation	23		24	231.18061240000043	0.199965599999814
11	230.27583090000007	alternation	24		24	231.38057800000024	0.19823400000041147
11	230.47406490000049	alternation	25		24	231.57881200000065	0.19998020000002725
11	230.6740451000005	alternation	26		24	231.77879220000068	0.19999920000009297
11	230.8740443000006	alternation	27		24	231.97879140000077	0.20000720000007277
11	231.07405150000068	alternation	28		24	232.17879860000085	0.20000549999986106
