trial_nr	onset	event_type	phase	response	nr_frames	n_dots	sphere_radius	dot_size	rotation_speed	depth_mod_center	depth_mod_amp	ambiguous_dot_size	onset_abs	duration
4	34.22708920000002	phase1	1		480	200.0	2.0	0.15	2.0	0.75	0.25	0.2	36.2728747000001	3.999878400000057
4	38.22696760000008	phase2	2		18	200.0	2.0	0.15	2.0	0.75	0.25	0.2	40.27275310000016	0.14993069999991349
4	38.37689829999999	phase3	3		360	200.0	2.0	0.15	2.0	0.75	0.25	0.2	40.42268380000007	2.999894900000072
4	39.610471300000086	response	3	right		200.0	2.0	0.15	2.0	0.75	0.25	0.2	41.656256800000165	
5	41.376793200000066	phase0	0		273	200.0	2.0	0.15	2.0	0.75	0.25	0.2	43.422578700000145	2.27499899999998
5	43.651792200000045	phase1	1		480	200.0	2.0	0.15	2.0	0.75	0.25	0.2	45.697577700000124	3.999873399999956
5	47.6516656	phase2	2		18	200.0	2.0	0.15	2.0	0.75	0.25	0.2	49.69745110000008	0.1500108000000182
5	47.80167640000002	phase3	3		360	200.0	2.0	0.15	2.0	0.75	0.25	0.2	49.8474619000001	2.9998906000000716
5	49.56850480000003	response	3	right		200.0	2.0	0.15	2.0	0.75	0.25	0.2	51.61429030000011	
6	50.80156700000009	phase0	0		157	200.0	2.0	0.15	2.0	0.75	0.25	0.2	52.84735250000017	1.3082974999999806
6	52.10986450000007	phase1	1		480	200.0	2.0	0.15	2.0	0.75	0.25	0.2	54.15565000000015	3.9998709999999846
6	56.109735500000056	phase2	2		18	200.0	2.0	0.15	2.0	0.75	0.25	0.2	58.155521000000135	0.15000980000002073
6	56.25974530000008	phase3	3		360	200.0	2.0	0.15	2.0	0.75	0.25	0.2	58.305530800000156	2.999911300000008
